Date,p25,p30,p35
2020-03-14,64,64,64
2020-03-15,80,83,86
2020-03-16,100,108,117
2020-03-17,125,141,157
2020-03-18,156,183,213
2020-03-19,195,238,287
2020-03-20,244,309,387
2020-03-21,305,402,523
2020-03-22,381,522,706
2020-03-23,477,679,953
2020-03-24,596,882,1287
2020-03-25,745,1147,1737
2020-03-26,931,1491,2345
2020-03-27,1164,1938,3166
2020-03-28,1455,2520,4274
2020-03-29,1819,3276,5770
2020-03-30,2274,4259,7790
2020-03-31,2842,5536,10516
2020-04-01,3553,7197,14197
2020-04-02,4441,9356,19166
2020-04-03,5551,12163,25874
2020-04-04,6939,15812,34929
2020-04-05,8674,20556,47154
2020-04-06,10842,26722,63659
2020-04-07,13553,34739,85939
2020-04-08,16941,45161,116018
2020-04-09,21176,58709,156624
2020-04-10,26470,76322,211442
